destination,days,trip_type,travelers,total_cost,transport_cost,accommodation_cost,food_cost,activities_cost
Barcelona,4,Luxury,2,2088.52,499.65,753.53,406.62,428.73
Vienna,8,Luxury,5,11844.67,2491.64,5092.6,2893.19,1367.23
Delhi,10,Budget,5,1356.82,411.06,411.27,367.72,166.78
Dubai,20,Luxury,6,24042.03,4881.08,8087.79,7209.18,3863.98
Kuala Lumpur,18,Budget,6,3775.7,1008.14,1312.84,863.24,591.48
Vienna,18,Budget,3,3704.58,651.33,1476.12,913.05,664.07
Vienna,9,Luxury,2,5276.14,1740.51,1459.94,1097.46,978.23
Tokyo,17,Budget,2,4329.66,1456.8,1825.56,760.25,287.05
Sydney,5,Standard,5,4681.09,1573.47,1193.34,1191.35,722.92
Paris,9,Budget,6,4635.77,1295.55,1277.94,1147.48,914.79
Sydney,13,Budget,6,8601.45,2302.38,2516.21,1415.39,2367.47
Prague,12,Budget,5,2947.94,904.59,1295.25,563.87,184.23
London,19,Standard,6,21357.98,6566.5,8804.83,4918.76,1067.9
Bali,8,Budget,4,1404.04,397.89,379.8,213.12,413.24
New York,15,Luxury,3,16731.55,2767.3,6427.47,4570.87,2965.91
Bangkok,13,Standard,1,828.32,141.13,358.02,226.19,102.98
Seoul,16,Standard,2,4299.25,939.3,1544.7,703.8,1111.45
Amsterdam,18,Budget,4,5335.14,861.09,1960.98,1472.78,1040.29
Goa,18,Standard,6,8010.75,1526.61,3602.14,1852.12,1029.87
Hong Kong,15,Luxury,2,7250.96,2270.4,2809.58,1808.44,362.55
Amsterdam,12,Luxury,4,13528.5,2797.15,5259.51,2649.85,2821.99
Barcelona,3,Budget,2,284.93,61.46,105.55,56.51,61.4
Bali,20,Standard,2,3694.83,595.77,1476.1,1025.79,597.18
Goa,3,Budget,1,111.43,37.98,32.54,29.9,11.02
Kuala Lumpur,14,Luxury,5,9698.13,3229.16,2835.18,1664.55,1969.24
New York,19,Luxury,3,20784.48,5958.62,7664.01,5470.98,1690.88
Kerala,7,Luxury,3,3128.85,572.84,783.67,931.11,841.23
Barcelona,20,Standard,3,5851.59,1906.15,1693.06,1709.22,543.16
Tokyo,9,Budget,4,3098.32,802.88,1198.42,553.16,543.87
Vienna,5,Budget,6,2043.96,631.82,568.79,346.55,496.8
Berlin,7,Budget,5,1963.5,508.54,524.96,364.28,565.72
Jaipur,18,Standard,1,873.87,169.23,228.03,133.4,343.21
Singapore,19,Standard,4,10321.77,2642.89,4170.94,2991.85,516.09
Dubai,18,Standard,6,19530.34,3813.41,5397.43,5528.19,4791.31
Tokyo,11,Luxury,3,10951.48,3512.28,4517.62,2374.0,547.57
Sydney,14,Standard,3,6555.85,1538.64,2810.35,1879.08,327.79
Amsterdam,19,Budget,1,1556.91,381.16,661.9,296.93,216.93
Jaipur,17,Standard,6,7450.97,1335.36,3089.18,1380.33,1646.11
Mumbai,20,Luxury,6,11319.58,2091.77,2934.48,2682.05,3611.27
Agra,18,Standard,1,1133.66,223.74,302.45,300.99,306.48
Dubai,7,Standard,5,4286.31,1469.65,1211.94,835.46,769.26
Jaipur,5,Budget,2,266.28,58.17,118.83,65.09,24.18
Hong Kong,15,Luxury,4,18561.97,3295.62,4842.26,2835.89,7588.21
Singapore,14,Budget,4,4020.56,849.06,1393.63,641.19,1136.68
Amsterdam,4,Luxury,5,6687.87,1672.01,1842.92,1587.27,1585.66
New York,5,Budget,2,1144.66,250.63,375.52,324.69,193.83
Prague,6,Budget,2,632.63,126.37,273.32,109.55,123.38
London,14,Standard,6,12654.03,2771.9,3600.72,3078.69,3202.72
Tokyo,17,Budget,1,1133.76,213.68,446.11,283.05,190.93
Berlin,10,Luxury,3,5935.09,1505.16,1492.63,1266.57,1670.73
Barcelona,7,Budget,3,1971.4,401.85,880.14,408.94,280.48
Prague,12,Budget,4,2446.92,659.51,973.35,377.74,436.31
Berlin,3,Luxury,3,1927.49,559.41,503.36,552.73,312.0
Vienna,3,Luxury,2,1310.85,272.92,555.53,374.47,107.94
Amsterdam,11,Standard,4,6433.04,1212.39,2205.17,1202.16,1813.33
Bangkok,8,Standard,2,1705.38,440.99,470.47,351.95,441.97
Jaipur,15,Budget,5,2437.9,583.57,988.8,446.31,419.22
Delhi,15,Standard,2,1897.87,481.02,506.43,564.97,345.44
Bangkok,18,Luxury,1,3599.43,1054.56,1209.3,705.37,630.21
Prague,5,Budget,3,729.9,251.5,183.19,154.67,140.55
Prague,11,Budget,2,795.36,123.23,263.57,145.64,262.93
Singapore,16,Luxury,5,21133.91,4907.83,6273.92,3232.38,6719.78
Amsterdam,4,Budget,2,548.79,156.98,227.8,94.39,69.63
New York,16,Standard,1,3578.62,983.22,990.58,598.93,1005.89
Amsterdam,8,Luxury,4,9978.84,2430.69,4230.55,2818.66,498.94
Rome,5,Standard,4,2569.02,663.85,1139.72,442.33,323.12
Bali,7,Luxury,3,4125.79,1087.1,1342.54,1216.03,480.12
Sydney,16,Standard,5,14458.24,3622.16,4359.96,3689.81,2786.3
New York,9,Standard,5,9481.9,2982.35,2395.66,2193.18,1910.7
Agra,8,Luxury,4,3216.74,974.77,1116.39,554.59,570.99
Paris,7,Budget,5,3638.68,700.83,1351.97,591.53,994.34
New York,7,Standard,2,2226.69,643.71,856.72,614.92,111.33
Dubai,3,Standard,2,928.39,263.53,383.43,175.56,105.88
Vienna,12,Budget,1,913.67,160.61,359.99,150.92,242.16
Vienna,20,Luxury,4,19644.9,3326.43,5988.41,3889.86,6440.2
Amsterdam,19,Standard,2,5923.31,1039.08,1987.32,1031.42,1865.49
Jaipur,16,Budget,1,553.67,91.79,159.64,122.46,179.78
Berlin,16,Budget,5,6041.26,1501.84,2080.49,1350.5,1108.43
Mumbai,9,Budget,2,513.45,135.48,221.21,131.09,25.67
Kerala,8,Luxury,3,4205.7,1073.6,1829.79,1092.03,210.29
Berlin,18,Luxury,2,11739.46,2161.32,3985.19,2131.52,3461.42
Sydney,18,Luxury,6,34500.75,11837.33,11228.95,6511.47,4923.01
Barcelona,4,Standard,1,360.57,105.24,91.67,76.74,86.92
Bangkok,3,Luxury,1,403.23,126.48,155.92,71.59,49.25
Seoul,12,Luxury,1,4233.38,1074.61,1256.78,713.47,1188.52
Seoul,20,Budget,6,9563.62,2694.84,4282.83,1814.76,771.19
Amsterdam,5,Standard,3,1895.41,612.66,718.7,469.28,94.77
London,14,Standard,3,8081.66,2084.52,2145.65,1234.1,2617.38
Delhi,20,Standard,6,7576.36,2102.29,3109.08,1666.47,698.53
Seoul,10,Standard,5,6813.34,1151.79,1740.77,1434.51,2486.27
Barcelona,13,Luxury,4,12549.52,3238.32,3263.69,2000.85,4046.67
Berlin,12,Luxury,3,9698.18,1485.47,3840.33,2747.61,1624.76
Mumbai,5,Budget,5,748.58,209.54,232.45,163.94,142.66
Bangalore,13,Budget,2,935.19,202.31,369.04,211.51,152.34
Sydney,16,Standard,4,13221.31,2620.63,3346.83,2697.35,4556.5
Seoul,20,Standard,5,12958.22,4534.99,3245.22,3185.14,1992.88
Seoul,20,Budget,4,5576.14,940.84,2459.15,1347.41,828.74
Sydney,4,Luxury,3,3870.73,1314.39,1167.84,776.4,612.1
Jaipur,15,Standard,5,4671.68,1075.39,1495.6,1242.32,858.37
Bangalore,10,Standard,2,1480.0,431.34,426.35,303.41,318.9
Mumbai,20,Budget,6,3359.73,1152.07,1347.68,691.99,167.99
Sydney,7,Standard,3,2410.32,830.15,679.3,489.59,411.27
Rome,9,Luxury,5,12645.67,2441.91,3720.54,3280.06,3203.17
Barcelona,20,Luxury,1,5548.97,1631.52,1482.83,1218.39,1216.22
Kuala Lumpur,18,Luxury,3,6991.6,1074.02,2307.69,1625.42,1984.47
Bali,17,Luxury,6,17348.41,5556.82,4880.5,5138.84,1772.24
Berlin,14,Standard,6,9663.61,3118.56,3074.86,2753.42,716.77
Tokyo,17,Budget,2,3627.0,1190.68,1408.75,846.22,181.35
Paris,8,Luxury,4,9349.53,2414.43,3840.53,2116.11,978.47
Paris,3,Luxury,6,6257.61,1479.45,2774.11,1363.11,640.94
Seoul,5,Luxury,2,2677.27,911.18,840.51,750.21,175.36
Hong Kong,16,Luxury,2,11827.93,2821.33,4104.92,3154.35,1747.33
Bangkok,7,Standard,3,1506.44,230.04,485.94,361.79,428.67
Bangalore,17,Budget,6,2928.49,601.82,1278.82,757.1,290.75
Bali,7,Standard,2,1427.66,409.74,559.0,291.24,167.68
Agra,17,Budget,6,3285.14,700.01,1269.77,922.22,393.14
Bangalore,13,Budget,6,2460.93,633.98,865.61,458.89,502.45
Sydney,6,Budget,5,2430.58,678.25,924.09,665.19,163.04
London,13,Luxury,1,3641.89,741.67,1638.37,642.07,619.79
Sydney,9,Luxury,2,4597.91,1533.03,1950.78,884.2,229.9
Kuala Lumpur,14,Budget,1,345.74,89.31,129.96,65.18,61.29
Delhi,10,Luxury,1,1503.12,327.19,657.02,431.14,87.77
Hong Kong,15,Budget,5,7320.4,2361.89,2942.06,1650.43,366.02
Berlin,5,Budget,6,2024.74,411.47,843.58,433.33,336.35
Rome,3,Budget,6,1350.88,240.59,457.39,316.4,336.49
Goa,12,Luxury,5,10649.85,2030.95,4522.7,1692.95,2403.26
Kerala,8,Standard,5,3368.56,706.89,1346.15,610.52,705.0
Prague,19,Luxury,1,3778.64,1126.77,1466.9,996.04,188.93
Bangkok,14,Standard,3,3187.45,565.65,1011.28,758.65,851.87
Hong Kong,7,Standard,2,2677.83,665.65,766.33,696.81,549.04
Amsterdam,14,Budget,5,5166.05,1575.29,1872.33,1203.2,515.24
Barcelona,18,Standard,6,16053.96,5518.76,5568.2,2561.25,2405.75
Singapore,20,Standard,2,8092.21,1910.32,2541.44,2314.35,1326.1
Sydney,5,Standard,3,2653.38,538.76,1027.44,775.63,311.55
Amsterdam,20,Luxury,5,28443.36,7327.7,7512.18,8251.56,5351.93
London,12,Luxury,3,11949.11,3479.21,5168.25,2704.19,597.46
Rome,14,Standard,5,9914.83,2929.96,3727.72,2022.31,1234.84
Kerala,8,Luxury,2,3042.6,555.99,929.18,486.42,1071.01
Sydney,3,Standard,1,537.7,184.54,148.47,110.65,94.04
Hong Kong,12,Luxury,1,3898.72,1351.6,1630.53,605.84,310.75
New York,6,Luxury,4,10231.16,2679.78,3129.39,2070.08,2351.91
Dubai,18,Luxury,1,5336.83,1343.26,1582.8,1477.23,933.54
Tokyo,17,Luxury,1,6354.83,1151.1,1875.52,1155.11,2173.09
Tokyo,18,Budget,5,8406.63,2497.55,2236.2,1714.28,1958.61
Dubai,11,Standard,6,9860.74,1706.91,3108.31,1805.16,3240.36
Hong Kong,8,Luxury,3,7562.34,2052.38,2175.69,2047.47,1286.81
Dubai,9,Budget,1,723.55,120.99,261.8,163.1,177.65
Jaipur,13,Standard,1,759.2,158.61,229.08,116.83,254.68
Bangalore,16,Luxury,5,7848.68,1621.88,3345.75,1876.21,1004.84
Hong Kong,7,Standard,4,5399.72,1414.85,1767.29,1150.34,1067.24
Kuala Lumpur,3,Luxury,6,2142.38,393.95,808.46,634.6,305.37
Mumbai,10,Budget,3,850.19,241.31,282.32,187.56,139.01
Paris,15,Budget,3,3715.46,822.04,1060.55,944.72,888.14
Kerala,19,Luxury,6,20393.61,3177.83,8235.38,5818.02,3162.38
Rome,13,Budget,1,944.14,240.43,258.08,159.9,285.73
Bangkok,15,Luxury,5,10480.21,2350.23,3671.63,2712.49,1745.85
Goa,8,Standard,6,4210.01,1217.07,1605.14,1177.31,210.5
Prague,13,Standard,4,5948.94,1382.56,1651.9,1486.43,1428.06
Jaipur,11,Budget,5,1775.27,296.61,603.52,467.7,407.43
New York,8,Luxury,3,9592.24,1943.54,3787.76,1711.57,2149.36
Hong Kong,20,Standard,2,5542.13,1316.83,1838.59,1187.89,1198.81
Agra,13,Standard,2,1384.87,307.16,570.11,288.34,219.25
Kuala Lumpur,6,Budget,4,1050.68,314.04,294.61,178.14,263.9
Paris,6,Standard,5,5809.24,1479.22,2468.32,909.23,952.47
Bangkok,3,Standard,1,286.35,86.04,72.6,65.16,62.55
Bangalore,9,Standard,2,1375.26,226.29,561.14,251.21,336.61
Delhi,12,Standard,2,1155.93,326.4,371.18,313.64,144.71
Tokyo,9,Budget,4,3006.01,962.68,1231.55,571.37,240.41
Kerala,6,Budget,1,189.48,37.22,74.24,51.83,26.19
Berlin,11,Luxury,6,15533.41,3046.83,4788.01,4129.41,3569.17
Dubai,7,Luxury,5,8548.06,2301.25,2290.28,1714.77,2241.75
Paris,17,Standard,4,8458.74,2392.89,3313.79,1494.51,1257.54
Seoul,18,Standard,1,2243.47,674.65,908.88,547.77,112.17
Sydney,12,Budget,1,1110.63,313.45,470.88,270.77,55.53
Singapore,9,Budget,4,3308.99,793.88,1381.08,780.42,353.61
Barcelona,19,Budget,1,1270.74,263.09,519.18,363.26,125.21
Mumbai,17,Budget,2,973.97,202.05,343.1,263.95,164.87
Goa,14,Standard,3,3863.86,929.97,1730.45,611.31,592.13
Jaipur,9,Budget,5,1168.12,292.76,365.84,302.99,206.52
Amsterdam,11,Luxury,2,7003.88,1821.77,2907.85,1369.44,904.81
Paris,3,Budget,5,1263.9,307.73,388.17,371.89,196.11
Goa,13,Budget,1,466.19,80.23,137.0,102.4,146.55
Bangalore,11,Luxury,2,3099.3,975.83,1124.95,548.42,450.11
Bangkok,19,Standard,3,4483.74,789.93,1332.18,1299.73,1061.91
Hong Kong,11,Luxury,6,25687.64,6330.59,9095.09,7610.91,2651.06
Singapore,20,Standard,2,6025.62,1053.8,2665.97,1165.89,1139.96
Jaipur,17,Budget,5,2277.74,488.89,995.44,465.79,327.61
Kerala,8,Luxury,3,3139.23,838.55,1156.09,809.55,335.05
Tokyo,11,Standard,6,12872.76,2429.41,4289.94,2797.61,3355.81
Bangkok,6,Standard,2,675.28,194.46,250.18,112.16,118.48
Berlin,10,Standard,3,2961.81,819.76,783.05,848.12,510.88
Kerala,12,Luxury,1,2105.56,448.46,655.42,363.93,637.75
Vienna,11,Luxury,5,12376.83,3670.57,3926.69,2466.59,2312.98
Barcelona,8,Standard,6,5524.72,1676.46,1608.67,1095.29,1144.3
New York,12,Standard,3,8146.27,2748.0,2209.72,2250.79,937.75
New York,13,Standard,5,6893.1,2184.97,2765.35,1533.79,408.98
Rome,20,Standard,6,20473.36,5042.95,7905.04,5708.51,1816.86
Rome,5,Luxury,3,3773.36,772.85,1547.96,779.49,673.07
Bali,13,Budget,4,2778.67,536.48,856.87,488.81,896.51
Rome,14,Luxury,6,25920.39,4139.3,7570.19,6088.27,8122.64
London,15,Luxury,5,23503.52,5420.09,8927.36,5986.6,3169.47
Bangkok,15,Standard,4,4355.41,1149.25,1422.24,1147.99,635.93
Vienna,11,Standard,1,1414.04,364.17,354.84,227.46,467.57
Paris,15,Budget,6,7016.56,1679.44,1764.1,1914.89,1658.13
Goa,18,Standard,3,5380.61,1505.24,2059.25,1547.09,269.03
Kerala,3,Standard,6,1468.98,307.94,404.4,406.0,350.64
Paris,17,Budget,4,5789.53,956.0,2115.57,1426.51,1291.45
Hong Kong,14,Standard,3,6314.69,1393.75,1745.97,1583.99,1590.98
Singapore,10,Budget,1,667.39,211.56,279.31,130.46,46.06
Kuala Lumpur,10,Budget,6,1852.16,308.71,806.99,438.89,297.57
Barcelona,5,Standard,2,1147.02,251.34,429.33,178.73,287.62
Berlin,7,Budget,3,1111.2,285.26,277.85,206.89,341.2
Agra,5,Budget,1,96.82,30.13,29.62,17.3,19.77
Kuala Lumpur,18,Luxury,1,2430.72,724.36,758.25,677.72,270.39
Vienna,15,Luxury,3,12301.08,3647.76,4592.94,1850.54,2209.84
Kerala,12,Budget,4,2406.49,575.5,1004.04,456.62,370.32
Prague,14,Budget,5,4376.71,1002.1,1659.69,755.38,959.54
Hong Kong,19,Luxury,6,36132.13,11516.93,12570.85,10237.74,1806.61
Kuala Lumpur,20,Budget,1,547.65,132.0,197.8,115.33,102.52
Hong Kong,17,Luxury,4,28267.41,6784.47,8976.69,5885.69,6620.55
Tokyo,12,Luxury,3,10813.97,2750.52,2732.5,1653.64,3677.32
Mumbai,12,Luxury,5,7520.8,2086.88,2717.58,1961.01,755.34
Kuala Lumpur,15,Luxury,4,6794.27,1423.64,1743.34,1620.56,2006.73
Berlin,17,Luxury,2,8434.69,1479.62,2710.44,2014.81,2229.81
Jaipur,8,Luxury,1,1032.26,351.82,321.88,306.95,51.61
Kuala Lumpur,17,Standard,2,2506.15,861.83,989.42,455.63,199.26
New York,13,Standard,5,17031.4,4290.43,7307.22,4582.18,851.57
Barcelona,12,Luxury,5,17605.37,3072.07,6281.72,4963.3,3288.28
Paris,19,Standard,1,2914.65,626.36,1279.6,560.78,447.91
